Processes: 324 total, 4 running, 320 sleeping, 1215 threads 
2016/10/29 21:09:03
Load Avg: 2.73, 2.53, 2.37 
CPU usage: 28.98% user, 23.18% sys, 47.82% idle 
SharedLibs: 93M resident, 23M data, 6520K linkedit.
MemRegions: 68085 total, 504M resident, 38M private, 688M shared.
PhysMem: 3950M used (1190M wired), 145M unused.
VM: 5078G vsize, 618M framework vsize, 593712(0) swapins, 671578(0) swapouts.
Networks: packets: 1512128/1915M in, 651230/60M out.
Disks: 847076/18G read, 309812/18G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG  CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW   POWER USER            #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
4350   bash             0.0  00:00.65 1     0   16+    204K+  0B    768K+  4350  4349  sleeping *0[1+]      0.00000 0.00000    501 11452+   5078+  330+      159+      44691+    252+      3873+     516+    4       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
4349   login            0.0  00:00.03 2     1   29+    140K+  0B    820K+  4349  850   sleeping *0[9+]      0.00000 0.00000    0   3131+    189+   156+      49+       1203+     255+      171+      6+      3       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
4299   netbiosd         0.0  00:00.09 3     3   33+    608K+  0B    1896K+ 4299  1     sleeping *0[1+]      0.00000 0.00000    222 5567+    176+   171+      47+       1195+     325+      819+      92+     39      0.0   _netbios        N/A    N/A   N/A   N/A   N/A   N/A  
4289   plugin-container 0.0  20:01.26 60    1   309+   111M+  0B    494M+  4286  4286  sleeping *0[55+]     0.00000 0.00000    501 4100996+ 17266+ 4093347+  1751113+  11523210+ 16619840+ 6640433+  13712+  340738  0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
4287   CoreServicesUIAg 0.0  00:00.58 3     1   214+   1100K+ 0B    6532K+ 4287  1     sleeping *0[1+]      0.00000 0.00000    501 22604+   450+   2362+     582+      5253+     5356+     3513+     2021+   48      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
4286   firefox          0.0  16:05.68 54    2   378+   48M+   0B    240M+  4286  1     sleeping *0[1115+]   0.00000 0.00000    501 3397349+ 30440+ 3427676+  1416741+  11507349+ 10379315+ 6200867+  27950+  123810  0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3979   softwareupdate_d 0.0  00:00.44 3     1   62+    156K+  0B    3308K+ 3979  1     sleeping  0[0]       0.00000 0.00000    200 9052+    210+   3354+     2051+     30436+    4464+     4402+     35+     9       0.0   _softwareupdate N/A    N/A   N/A   N/A   N/A   N/A  
3896   com.apple.iTunes 0.0  00:00.11 2     2   53+    44K+   0B    2084K+ 3896  1     sleeping  0[0]       0.00000 0.00000    501 6982+    195+   235+      91+       1450+     528+      1497+     31+     8       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3869   media-indexer    0.0  00:00.10 2     2   34+    152K+  0B    1312K+ 3869  1     sleeping  0[0]       0.00000 0.00000    501 5887+    178+   157+      56+       2228+     314+      900+      208+    5       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3843   mapspushd        0.0  00:00.25 3     1   97+    584K+  0B    3008K+ 3843  1     sleeping *0[2+]      0.00000 0.00000    501 10955+   253+   619+      190+      2643+     1192+     2724+     123+    14      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3840   periodic-wrapper 0.0  00:00.01 2     2   26+    132K+  0B    284K+  3840  1     sleeping *0[1+]      0.00000 0.00000    0   1313+    96+    95+       41+       346+      205+      168+      0       0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
3581   ssh-agent        0.0  00:00.03 1     0   16+    8192B+ 0B    768K+  3581  1     sleeping *0[1+]      0.00000 0.00000    501 2304+    168+   78+       27+       360+      171+      131+      114+    1       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3433   SafariPlugInUpda 0.0  00:00.07 2     2   50+    156K+  0B    2644K+ 3433  1     sleeping *0[1+]      0.00000 0.00000    501 8648+    205+   204+      77+       1191+     451+      504+      2+      5       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3338   mdworker         0.0  00:00.07 2     1   50+    148K+  0B    2756K+ 3338  1     sleeping *0[1+]      0.00000 0.00000    501 7092+    217+   285+      109+      4875+     622+      364+      4+      5       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3289   com.apple.Safari 0.0  00:00.67 3     1   56+    604K+  0B    6296K+ 3289  1     sleeping *0[19+]     0.00000 0.00000    501 23956+   850+   827+      244+      15155+    2309+     4629+     17+     10      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3285   com.apple.Safari 0.0  00:00.07 2     1   40+    140K+  0B    2584K+ 3285  1     sleeping *0[40+]     0.00000 0.00000    501 8005+    195+   325+      108+      1118+     521+      473+      12+     4       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3279   com.apple.WebKit 0.0  00:03.60 4     1   96+    832K+  0B    6276K+ 3279  1     sleeping *2+[1+]     0.00000 0.00000    501 18726+   344+   8799+     1315+     153273+   21944+    68883+    1002+   79      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3278   Safari           0.0  00:10.84 7     1   352+   2772K+ 0B    28M+   3278  1     sleeping *2+[2+]     0.00000 0.00000    501 90819+   915+   120552+   35013+    127034+   250952+   158828+   5684+   691     0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3265   diskspaced       0.0  00:00.06 2     2   52+    136K+  0B    1164K+ 3265  1     sleeping *0[1+]      0.00000 0.00000    501 6522+    228+   295+      120+      3967+     612+      752+      17+     9       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3264   EscrowSecurityAl 0.0  00:00.35 3     1   141+   144K+  0B    2716K+ 3264  1     sleeping  0[0]       0.00000 0.00000    501 13524+   308+   1043+     295+      15562+    2400+     6393+     573+    29      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3215   aslmanager       0.0  00:00.02 2     2   20+    128K+  0B    644K+  3215  1     sleeping *0[1+]      0.00000 0.00000    0   3159+    141+   87+       40+       427+      181+      432+      62+     5       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
3162   taskgated        0.0  00:00.69 2     1   41+    164K+  0B    2340K+ 3162  1     sleeping *0[1+]      0.00000 0.00000    0   15889+   195+   1193+     193+      38073+    2154+     2057+     43+     19      0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
3155   com.apple.BKAgen 0.0  00:00.12 2     1   53+    40K+   0B    1816K+ 3155  1     sleeping *0[2+]      0.00000 0.00000    501 9627+    215+   321+      137+      1502+     800+      1652+     122+    11      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
3152   DiskSpaceEfficie 0.0  00:00.10 2     1   53+    180K+  0B    1700K+ 3152  1     sleeping *0[4+]      0.00000 0.00000    501 8581+    207+   393+      133+      1782+     831+      959+      53+     5       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
2904   distnoted        0.0  00:00.06 2     1   30+    16K+   0B    588K+  2904  1     sleeping *0[1+]      0.00000 0.00000    0   2883+    117+   563+      447+      2376+     1049+     859+      13+     27      0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
